Category,Name,Symbol,LogoSource,CurrentImageURL,AlternativeSources
Crypto,Bitcoin,BTC,CoinGecko CDN,https://assets.coingecko.com/coins/images/1/large/bitcoin.png,"Cryptologos: https://cryptologos.cc/bitcoin, Alternative: https://cryptoicons.org/api/icon/btc/200"
Crypto,Ethereum,ETH,CoinGecko CDN,https://assets.coingecko.com/coins/images/279/large/ethereum.png,"Cryptologos: https://cryptologos.cc/ethereum, Alternative: https://cryptoicons.org/api/icon/eth/200"
Crypto,Ripple,XRP,CoinGecko CDN,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png,"Cryptologos: https://cryptologos.cc/ripple, Alternative: https://cryptoicons.org/api/icon/xrp/200"
Crypto,Cardano,ADA,CoinGecko CDN,https://assets.coingecko.com/coins/images/975/large/cardano.png,"Cryptologos: https://cryptologos.cc/cardano, Alternative: https://cryptoicons.org/api/icon/ada/200"
Crypto,Solana,SOL,CoinGecko CDN,https://assets.coingecko.com/coins/images/4128/large/solana.png,"Cryptologos: https://cryptologos.cc/solana, Alternative: https://cryptoicons.org/api/icon/sol/200"
Crypto,Binance Coin,BNB,CoinGecko CDN,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png,"Cryptologos: https://cryptologos.cc/binance-coin, Alternative: https://cryptoicons.org/api/icon/bnb/200"
Crypto,Polkadot,DOT,CoinGecko CDN,https://assets.coingecko.com/coins/images/12171/large/polkadot.png,"Cryptologos: https://cryptologos.cc/polkadot, Alternative: https://cryptoicons.org/api/icon/dot/200"
Crypto,Avalanche,AVAX,CoinGecko CDN,https://assets.coingecko.com/coins/images/12559/large/avalanche-avax-logo.png,"Cryptologos: https://cryptologos.cc/avalanche, Alternative: https://cryptoicons.org/api/icon/avax/200"
Crypto,Chainlink,LINK,CoinGecko CDN,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png,"Cryptologos: https://cryptologos.cc/chainlink, Alternative: https://cryptoicons.org/api/icon/link/200"
Crypto,Dogecoin,DOGE,CoinGecko CDN,https://assets.coingecko.com/coins/images/5/large/dogecoin.png,"Cryptologos: https://cryptologos.cc/dogecoin, Alternative: https://cryptoicons.org/api/icon/doge/200"
Forex,EUR/USD,EURUSD,CountryFlagIcons,https://www.countryflagicons.com/FLAT/64/EU-US.png,"Icons8: https://icons8.com/icons/set/forex-pairs/eur-usd, Note: Current uses flag combination"
Forex,GBP/USD,GBPUSD,CountryFlagIcons,https://www.countryflagicons.com/FLAT/64/GB-US.png,"Icons8: https://icons8.com/icons/set/forex-pairs/gbp-usd, Note: Current uses flag combination"
Forex,USD/JPY,USDJPY,CountryFlagIcons,https://www.countryflagicons.com/FLAT/64/US-JP.png,"Icons8: https://icons8.com/icons/set/forex-pairs/usd-jpy, Note: Current uses flag combination"
Forex,AUD/USD,AUDUSD,CountryFlagIcons,https://www.countryflagicons.com/FLAT/64/AU-US.png,"Icons8: https://icons8.com/icons/set/forex-pairs/aud-usd, Note: Current uses flag combination"
Forex,USD/CAD,USDCAD,CountryFlagIcons,https://www.countryflagicons.com/FLAT/64/US-CA.png,"Icons8: https://icons8.com/icons/set/forex-pairs/usd-cad, Note: Current uses flag combination"
Forex,EUR/GBP,EURGBP,CountryFlagIcons,https://www.countryflagicons.com/FLAT/64/EU-GB.png,"Icons8: https://icons8.com/icons/set/forex-pairs/eur-gbp, Note: Current uses flag combination"
Forex,NZD/USD,NZDUSD,CountryFlagIcons,https://www.countryflagicons.com/FLAT/64/NZ-US.png,"Icons8: https://icons8.com/icons/set/forex-pairs/nzd-usd, Note: Current uses flag combination"
Forex,USD/CHF,USDCHF,CountryFlagIcons,https://www.countryflagicons.com/FLAT/64/US-CH.png,"Icons8: https://icons8.com/icons/set/forex-pairs/usd-chf, Note: Current uses flag combination"
Forex,EUR/JPY,EURJPY,CountryFlagIcons,https://www.countryflagicons.com/FLAT/64/EU-JP.png,"Icons8: https://icons8.com/icons/set/forex-pairs/eur-jpy, Note: Current uses flag combination"
Forex,GBP/JPY,GBPJPY,CountryFlagIcons,https://www.countryflagicons.com/FLAT/64/GB-JP.png,"Icons8: https://icons8.com/icons/set/forex-pairs/gbp-jpy, Note: Current uses flag combination"
Stock,Apple Inc.,AAPL,Clearbit Logo API,https://logo.clearbit.com/apple.com,"SeekLogo: https://seeklogo.com/vector-logo/272825/apple, SVGRepo: https://www.svgrepo.com/svg/456055/apple"
